STATION_ID,NAME,lat,lon
MSTN_001,Anacostia,38.8629709,-76.99537302
MSTN_002,Archives-Navy Meml,38.89367301,-77.02191668
MSTN_003,Benning Road,38.89098346,-76.93836713
MSTN_004,Brookland-CUA,38.93321879,-76.99453657
MSTN_005,Capitol South,38.88507028,-77.0051417
MSTN_006,Cleveland Park,38.93477068,-77.05804482
MSTN_007,Columbia Heights,38.92784576,-77.03255441
MSTN_008,Congress Heights,38.84566548,-76.98851421
MSTN_009,Deanwood,38.90818629,-76.93525905
MSTN_010,Dupont Circle,38.90960585,-77.04341666
MSTN_011,Eastern Market,38.88463005,-76.99600341
MSTN_012,Farragut North,38.90320973,-77.03970312
MSTN_013,Farragut West,38.90132068,-77.04069771
MSTN_014,Federal Center SW,38.88508014,-77.0158705
MSTN_015,Federal Triangle,38.89318866,-77.02813429
MSTN_016,Foggy Bottom GWU,38.90070579,-77.05028004
MSTN_017,Fort Totten,38.95185457,-77.00220536
MSTN_018,Friendship Heights,38.95949167,-77.08499812
MSTN_019,Gallery Pl-Chinatown,38.8983246,-77.02191768
MSTN_020,Georgia Ave Petworth,38.93744242,-77.0234632
MSTN_021,Judiciary Sq,38.8960981,-77.01664125
MSTN_022,LEnfant Plaza,38.88484551,-77.02191077
MSTN_023,McPherson Sq,38.90134058,-77.03363647
MSTN_024,Metro Center,38.89832226,-77.02808029
MSTN_025,Minnesota Ave,38.89919901,-76.94675
MSTN_026,Mt Vernon Sq - 7th St Convention Center,38.9064446,-77.02191667
MSTN_027,Navy Yard - Ballpark,38.87648887,-77.00508794
MSTN_028,NoMa - Gallaudet U,38.907024,-77.00302273
MSTN_029,Potomac Ave,38.88127106,-76.9854976
MSTN_030,Rhode Island Ave,38.92106748,-76.9959392
MSTN_031,Shaw-Howard Univ,38.91348466,-77.02191399
MSTN_032,Smithsonian,38.88802649,-77.02806853
MSTN_033,Stadium Armory,38.88671688,-76.97709118
MSTN_034,Takoma,38.97608633,-77.01817899
MSTN_035,Tenleytown-AU,38.94885923,-77.07958964
MSTN_036,U St/African-Amer Civil War Memorial/Cardozo,38.91701019,-77.02749819
MSTN_037,Union Station,38.89777383,-77.00741658
MSTN_038,Van Ness-UDC,38.94327308,-77.06298849
MSTN_039,Waterfront,38.87646965,-77.0175075
MSTN_040,Woodley Park-Zoo Adams Morgan,38.92509293,-77.05242032
MSTN_041,Shady Grove,39.11993515,-77.16462968
MSTN_042,Rockville,39.08432943,-77.14612768
MSTN_043,Twinbrook,39.06247547,-77.12082028
MSTN_044,Glenmont,39.06179158,-77.05355967
MSTN_045,White Flint,39.04815917,-77.11283219
MSTN_046,Wheaton,39.03753496,-77.05010936
MSTN_047,Grosvenor-Strathmore,39.02927676,-77.10385204
MSTN_048,Forest Glen,39.01496208,-77.04291886
MSTN_049,Greenbelt,39.01115367,-76.91105984
MSTN_050,Medical Center,39.00006429,-77.09695461
MSTN_051,Silver Spring,38.99395718,-77.03102013
MSTN_052,Bethesda,38.98440146,-77.09413151
MSTN_053,College Park-U of Md,38.97864144,-76.92812725
MSTN_054,Prince Georges Plaza,38.96539325,-76.95588378
MSTN_055,West Hyattsville,38.95504797,-76.96957895
MSTN_056,New Carrollton,38.94779266,-76.87184353
MSTN_057,Landover,38.93351403,-76.89120022
MSTN_058,Cheverly,38.91663965,-76.9166303
MSTN_059,West Falls Church VT/UVA,38.90078833,-77.18909717
MSTN_060,Rosslyn,38.89598688,-77.07091099
MSTN_061,Court House,38.89018331,-77.08713354
MSTN_062,Addison Road Seat Pleasant,38.88675561,-76.89411016
MSTN_063,Clarendon,38.88671262,-77.09539641
MSTN_064,East Falls Church,38.88596094,-77.15688535
MSTN_065,Arlington|Cemetery,38.88469464,-77.06281243
MSTN_066,Virginia Square-GMU,38.88337393,-77.10297961
MSTN_067,Dunn Loring Merrifield,38.88363291,-77.22716303
MSTN_068,Ballston-MU,38.88219065,-77.11317115
MSTN_069,Vienna Fairfax-GMU,38.8776089,-77.27262462
MSTN_070,Pentagon,38.86947048,-77.05371797
MSTN_071,Pentagon City,38.86189016,-77.05954122
MSTN_072,Crystal City,38.8579121,-77.05029211
MSTN_073,Ronald Reagan Washington National Airport,38.85342416,-77.04404459
MSTN_074,Naylor Road,38.85130916,-76.95626498
MSTN_075,Suitland,38.84397233,-76.93187242
MSTN_076,Southern Ave,38.84109356,-76.97505641
MSTN_077,Branch Ave,38.82645412,-76.91146647
MSTN_078,Braddock Road,38.81415144,-77.05366987
MSTN_079,King St - Old Town,38.80659388,-77.06081351
MSTN_080,Eisenhower Ave,38.80043321,-77.07087669
MSTN_081,Van Dorn Street,38.79931543,-77.12911384
MSTN_082,Huntington,38.79392362,-77.07520809
MSTN_083,Franconia-Springfield,38.76652965,-77.16797251
MSTN_084,Capitol Heights,38.88947365,-76.91181037
MSTN_085,Largo Town Center,38.9050766,-76.84203975
MSTN_086,Morgan Boulevard,38.89384272,-76.86807701
MSTN_090,Spring Hill,38.92895963,-77.24156035
MSTN_089,Greensboro,38.92096318,-77.2338802
MSTN_088,Tysons Corner,38.92068205,-77.22171804
MSTN_087,McLean,38.92452955,-77.21008129
MSTN_091,Wiehle-Reston East,38.94774066,-77.34006222
