STATION_ID,NAME,lat,lon,ENTRY_COUNT,EXIT_COUNT
MSTN_001,Anacostia,38.8629709,-76.99537302,150542,154504
MSTN_002,Archives-Navy Meml,38.89367301,-77.02191668,210151,206475
MSTN_003,Benning Road,38.89098346,-76.93836713,58776,52299
MSTN_004,Brookland-CUA,38.93321879,-76.99453657,138135,136010
MSTN_005,Capitol South,38.88507028,-77.0051417,159656,173799
MSTN_006,Cleveland Park,38.93477068,-77.05804482,96260,98007
MSTN_007,Columbia Heights,38.92784576,-77.03255441,288994,290237
MSTN_008,Congress Heights,38.84566548,-76.98851421,56881,49438
MSTN_009,Deanwood,38.90818629,-76.93525905,29511,27005
MSTN_010,Dupont Circle,38.90960585,-77.04341666,439155,442212
MSTN_011,Eastern Market,38.88463005,-76.99600341,135477,140483
MSTN_012,Farragut North,38.90320973,-77.03970312,521974,532721
MSTN_013,Farragut West,38.90132068,-77.04069771,441576,477311
MSTN_014,Federal Center SW,38.88508014,-77.0158705,120172,123040
MSTN_015,Federal Triangle,38.89318866,-77.02813429,182350,181631
MSTN_016,Foggy Bottom GWU,38.90070579,-77.05028004,461362,470260
MSTN_017,Fort Totten,38.95185457,-77.00220536,188727,188172
MSTN_018,Friendship Heights,38.95949167,-77.08499812,196251,197477
MSTN_019,Gallery Pl-Chinatown,38.8983246,-77.02191768,567790,565779
MSTN_020,Georgia Ave Petworth,38.93744242,-77.0234632,141404,129265
MSTN_021,Judiciary Sq,38.8960981,-77.01664125,177804,185512
MSTN_022,LEnfant Plaza,38.88484551,-77.02191077,463677,457422
MSTN_023,McPherson Sq,38.90134058,-77.03363647,315424,340301
MSTN_024,Metro Center,38.89832226,-77.02808029,577837,594622
MSTN_025,Minnesota Ave,38.89919901,-76.94675,49878,49880
MSTN_026,Mt Vernon Sq - 7th St Convention Center,38.9064446,-77.02191667,113585,122582
MSTN_027,Navy Yard - Ballpark,38.87648887,-77.00508794,272583,283821
MSTN_028,NoMa - Gallaudet U,38.907024,-77.00302273,201854,189964
MSTN_029,Potomac Ave,38.88127106,-76.9854976,77876,70034
MSTN_030,Rhode Island Ave,38.92106748,-76.9959392,134379,132725
MSTN_031,Shaw-Howard Univ,38.91348466,-77.02191399,113260,108632
MSTN_032,Smithsonian,38.88802649,-77.02806853,246364,269429
MSTN_033,Stadium Armory,38.88671688,-76.97709118,61665,60361
MSTN_034,Takoma,38.97608633,-77.01817899,123520,119778
MSTN_035,Tenleytown-AU,38.94885923,-77.07958964,125374,137524
MSTN_036,U St/African-Amer Civil War Memorial/Cardozo,38.91701019,-77.02749819,174284,176980
